Product Name,Price ,Price per quantity,Image URL,Image Path,Category,Subcategory,Availability,Product URL,Review Count
Oro Bailen Arbequina Extra Virgin Olive Oil,£ 15.65,£ 3.13 per 100ml,https://www.ocado.com/productImages/480/480982011_0_640x640.jpg,images/Oro Bailen Arbequina Extra Virgin Olive Oil.jpg,Food Cupboard,"Dietary, Lifestyle & World Foods>World Foods>Spanish>Cooking Ingredients>Olive Oil",Yes,https://www.ocado.com/products/480982011,10
Celebrations Tub,£ 4.0,£ 0.6152 per 100g,https://www.ocado.com/productImages/261/261010011_0_640x640.jpg,images/Celebrations Tub.jpg,Food Cupboard,Food Cupboard>Chocolate & Sweets>Chocolate>Boxes & Gifts>Everyday Boxed Chocolates,Yes,https://www.ocado.com/products/261010011,13
Kettle Chips Lightly Salted,£ 1.99,£ 1.33 per 100g,https://www.ocado.com/productImages/103/10353011_0_640x640.jpg,images/Kettle Chips Lightly Salted.jpg,Food Cupboard,"Food Cupboard>Crisps, Snacks & Nuts>Crisps & Popcorn>Crisps for Sharing>Big Bags",Yes,https://www.ocado.com/products/10353011,52
Lurpak Unsalted Butter,£ 2.0,£ 0.8 per 100g,https://www.ocado.com/productImages/148/14860011_0_640x640.jpg,images/Lurpak Unsalted Butter.jpg,Food Cupboard,"Fresh & Chilled Food>Dairy & Eggs>Butter, Fats & Spreads>Block Butter>Unsalted",Yes,https://www.ocado.com/products/14860011,21
Sensations Thai Sweet Chilli Crisps,£ 0.99,£ 0.6617 per 100g,https://www.ocado.com/productImages/444/44477011_0_640x640.jpg,images/Sensations Thai Sweet Chilli Crisps.jpg,Food Cupboard,"Food Cupboard>Crisps, Snacks & Nuts>Crisps & Popcorn>Crisps for Sharing>Big Bags",Yes,https://www.ocado.com/products/44477011,34
Lurpak Slightly Salted Butter,£ 2.0,£ 0.8 per 100g,https://www.ocado.com/productImages/148/14858011_0_640x640.jpg,images/Lurpak Slightly Salted Butter.jpg,Food Cupboard,Food Cupboard>Brands We Love>Home Baking>Essential Ingredients,Yes,https://www.ocado.com/products/14858011,22
Tilda Microwave Pure Basmati Rice                           ,£ 1.65,£ 0.66 per 100g,https://www.ocado.com/productImages/363/36384011_0_640x640.jpg,images/Tilda Microwave Pure Basmati Rice                           .jpg,Food Cupboard,"Food Cupboard>Rice, Pasta & Pulses>Heat to Eat>Cooked Rice>Plain",Yes,https://www.ocado.com/products/36384011,77
Paxo Sage & Onion Stuffing Mix,£ 1.4,£ 0.824 per 100g,https://www.ocado.com/productImages/110/11088011_0_640x640.jpg,images/Paxo Sage & Onion Stuffing Mix.jpg,Food Cupboard,Food Cupboard>Cooking Ingredients>Breadcrumbs & Stuffings>Stuffings,Yes,https://www.ocado.com/products/11088011,11
M&S Percy Pig Fruit Gums,£ 1.65,£ 0.971 per 100g,https://www.ocado.com/productImages/512/512822011_0_640x640.jpg,images/M&S Percy Pig Fruit Gums.jpg,Food Cupboard,Occasions & Entertaining>Entertain By Ocado>Shop By Category>Celebration Cakes & Sweet Treats,Yes,https://www.ocado.com/products/512822011,255
M&S All Butter Scottish Shortbread Assortment,£ 3.66,£ 0.563 per 100g,https://www.ocado.com/productImages/512/512359011_0_640x640.jpg,images/M&S All Butter Scottish Shortbread Assortment.jpg,Food Cupboard,Food Cupboard>Biscuits>Luxury Biscuits,Yes,https://www.ocado.com/products/512359011,168
Pringles Salt & Vinegar,£ 2.5,£ 1.25 per 100g,https://www.ocado.com/productImages/647/64745011_0_640x640.jpg,images/Pringles Salt & Vinegar.jpg,Food Cupboard,"Food Cupboard>Crisps, Snacks & Nuts>Crisps & Popcorn>Crisps for Sharing>Big Bags",Yes,https://www.ocado.com/products/64745011,15
Heinz Tomato Ketchup,£ 1.5,£ 0.3257 per 100g,https://www.ocado.com/productImages/313/31335011_0_640x640.jpg,images/Heinz Tomato Ketchup.jpg,Food Cupboard,Food Cupboard>Condiments & Dressings>Condiments>Tomato Ketchup,Yes,https://www.ocado.com/products/31335011,25
Walkers Cheese & Onion Crisps 25g x,£ 1.5,£ 0.25 each,https://www.ocado.com/productImages/103/10380011_0_640x640.jpg,images/Walkers Cheese & Onion Crisps 25g x.jpg,Food Cupboard,"Food Cupboard>Crisps, Snacks & Nuts>Crisps & Popcorn>Multipack Crisps>Single Flavour",Yes,https://www.ocado.com/products/10380011,13
Kellogg's Variety Pack 8s,£ 1.15,£ 0.575 per 100g,https://www.ocado.com/productImages/100/10056011_0_640x640.jpg,images/Kellogg's Variety Pack 8s.jpg,Food Cupboard,Food Cupboard>Breakfast Cereals>Breakfast On The Go>Cereal Pots,Yes,https://www.ocado.com/products/10056011,35
