Product Name,Price ,Price per quantity,Image URL,Image Path,Category,Subcategory,Availability,Product URL,Review Count,Weight
Morrisons Anchovy In Olive Oil ,£ 0.85,£ 1.7 per 100g,https://groceries.morrisons.com/productImages/270/270428011_0_640x640.jpg,images/Morrisons Anchovy In Olive Oil _270428011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Anchovies",Yes,https://groceries.morrisons.com/products/270428011,3,50g
John West Sardines in Sunflower Oil,£ 1.0,£ 0.833 per 100g,https://groceries.morrisons.com/productImages/267/267469011_0_640x640.jpg,images/John West Sardines in Sunflower Oil_267469011.jpg,Fish,Inspiration>Lunchbox Shop>Build Your Own Sandwich>The Filling>The Protein,Yes,https://groceries.morrisons.com/products/267469011,1,120g
John West Chilli Infusions,£ 1.7,£ 2.13 per 100g,https://groceries.morrisons.com/productImages/229/229363011_0_640x640.jpg,images/John West Chilli Infusions_229363011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Tuna",Yes,https://groceries.morrisons.com/products/229363011,1,80g
Morrisons The Best Sardines In Oil Infused With Sea Salt,£ 1.0,£ 0.952 per 100g,https://groceries.morrisons.com/productImages/394/394507011_0_640x640.jpg,images/Morrisons The Best Sardines In Oil Infused With Sea Salt_394507011.jpg,Fish,The Best>Food Cupboard>Tins & Cans,Yes,https://groceries.morrisons.com/products/394507011,2,105g
John West Tuna Chunks In Brine ,£ 2.99,£ 0.516 per 100g,https://groceries.morrisons.com/productImages/456/456004011_0_640x640.jpg,images/John West Tuna Chunks In Brine _456004011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Tuna",Yes,https://groceries.morrisons.com/products/456004011,,4 x 145g
Princes Mackerel Sizzle Smokey Chilli,£ 1.5,£ 0.9343 per 100g,https://groceries.morrisons.com/productImages/479/479796011_0_640x640.jpg,images/Princes Mackerel Sizzle Smokey Chilli_479796011.jpg,Fish,Food Cupboard>Princes Shop - Sponsored>Mid Week Meals,Yes,https://groceries.morrisons.com/products/479796011,2,160g
John West Tuna Chunks In Spring Water ,£ 2.99,£ 0.516 per 100g,https://groceries.morrisons.com/productImages/456/456003011_0_640x640.jpg,images/John West Tuna Chunks In Spring Water _456003011.jpg,Fish,Inspiration>Lunchbox Shop>Build Your Own Sandwich>The Filling>The Protein,Yes,https://groceries.morrisons.com/products/456003011,,4 x 145g
Morrisons Mackerel Fillets in Sunflower Oil  (125g),£ 0.95,£ 1.06 per 100g,https://groceries.morrisons.com/productImages/268/268541011_0_640x640.jpg,images/Morrisons Mackerel Fillets in Sunflower Oil  (125g)_268541011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Mackerel & Kippers ",Yes,https://groceries.morrisons.com/products/268541011,,90g
Shippams Salmon Spread    ,£ 0.85,£ 1.13 per 100g,https://groceries.morrisons.com/productImages/268/268404011_0_640x640.jpg,images/Shippams Salmon Spread    _268404011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Salmon",Yes,https://groceries.morrisons.com/products/268404011,1,75g
Morrisons Mackerel Fillets In Tomato Sauce ,£ 0.95,£ 0.76 per 100g,https://groceries.morrisons.com/productImages/247/247428011_0_640x640.jpg,images/Morrisons Mackerel Fillets In Tomato Sauce _247428011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Mackerel & Kippers ",Yes,https://groceries.morrisons.com/products/247428011,5,125g
John West Sardines In Brine (120g),£ 1.0,£ 1.11 per 100g,https://groceries.morrisons.com/productImages/287/287270011_0_640x640.jpg,images/John West Sardines In Brine (120g)_287270011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Sardines & Pilchards",Yes,https://groceries.morrisons.com/products/287270011,,90g
Morrisons The Best Sardines In Oil Infused With Lemon ,£ 1.0,£ 0.952 per 100g,https://groceries.morrisons.com/productImages/394/394506011_0_640x640.jpg,images/Morrisons The Best Sardines In Oil Infused With Lemon _394506011.jpg,Fish,The Best>Food Cupboard>Tins & Cans,Yes,https://groceries.morrisons.com/products/394506011,3,105g
Parson's Pickled Cockles,£ 1.5,£ 0.968 per 100g,https://groceries.morrisons.com/productImages/122/122635011_0_640x640.jpg,images/Parson's Pickled Cockles_122635011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Seafood",Yes,https://groceries.morrisons.com/products/122635011,4,155g
Morrisons Sardine Fillets in Piri Piri Sauce,£ 0.9,£ 0.9 per 100g,https://groceries.morrisons.com/productImages/378/378983011_0_640x640.jpg,images/Morrisons Sardine Fillets in Piri Piri Sauce_378983011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Sardines & Pilchards",Yes,https://groceries.morrisons.com/products/378983011,1,100g
John West Tuna & Basil Infusions,£ 1.7,£ 2.13 per 100g,https://groceries.morrisons.com/productImages/229/229369011_0_640x640.jpg,images/John West Tuna & Basil Infusions_229369011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Tuna",Yes,https://groceries.morrisons.com/products/229369011,4,80g
Morrisons The Best Sweetcured Smoked Mackerel Fillets,£ 1.5,£ 1.36 per 100g,https://groceries.morrisons.com/productImages/376/376198011_0_640x640.jpg,images/Morrisons The Best Sweetcured Smoked Mackerel Fillets_376198011.jpg,Fish,The Best>Food Cupboard>Tins & Cans,Yes,https://groceries.morrisons.com/products/376198011,4,110g
John West Tuna Chunks In Sunflower Oil,£ 1.5,£ 1.03 per 100g,https://groceries.morrisons.com/productImages/399/399348011_0_640x640.jpg,images/John West Tuna Chunks In Sunflower Oil_399348011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Tuna",Yes,https://groceries.morrisons.com/products/399348011,,145g
Morrisons Mackerel Fillets In Olive Oil  (125g),£ 0.95,£ 1.06 per 100g,https://groceries.morrisons.com/productImages/247/247674011_0_640x640.jpg,images/Morrisons Mackerel Fillets In Olive Oil  (125g)_247674011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Mackerel & Kippers ",Yes,https://groceries.morrisons.com/products/247674011,5,90g
Morrisons No Drain Tuna Steak In A Little Brine ,£ 4.0,£ 1.21 per 100g,https://groceries.morrisons.com/productImages/459/459723011_0_640x640.jpg,images/Morrisons No Drain Tuna Steak In A Little Brine _459723011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Tuna",No,https://groceries.morrisons.com/products/459723011,1,3 x 110g
Morrisons Savers Tuna Chunks In Brine ,£ 0.63,£ 0.434 per 100g,https://groceries.morrisons.com/productImages/525/525007011_0_640x640.jpg,images/Morrisons Savers Tuna Chunks In Brine _525007011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Tuna",Yes,https://groceries.morrisons.com/products/525007011,2,145g
John West Tuna Chunks In Spring Water,£ 1.5,£ 1.03 per 100g,https://groceries.morrisons.com/productImages/399/399347011_0_640x640.jpg,images/John West Tuna Chunks In Spring Water_399347011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Tuna",Yes,https://groceries.morrisons.com/products/399347011,,145g
Morrisons The Best Sardines In Oil Infused Lemon Chilli & Garlic,£ 1.0,£ 0.952 per 100g,https://groceries.morrisons.com/productImages/394/394505011_0_640x640.jpg,images/Morrisons The Best Sardines In Oil Infused Lemon Chilli & Garlic_394505011.jpg,Fish,The Best>Food Cupboard>Tins & Cans,Yes,https://groceries.morrisons.com/products/394505011,1,105g
John West Sardines in Olive Oil (120g),£ 1.0,£ 1.11 per 100g,https://groceries.morrisons.com/productImages/216/216564011_0_640x640.jpg,images/John West Sardines in Olive Oil (120g)_216564011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Sardines & Pilchards",Yes,https://groceries.morrisons.com/products/216564011,1,90g
John West Sild in Tomato Sauce,£ 1.4,£ 1.27 per 100g,https://groceries.morrisons.com/productImages/111/111311011_0_640x640.jpg,images/John West Sild in Tomato Sauce_111311011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Seafood",Yes,https://groceries.morrisons.com/products/111311011,,110g
Morrisons Sardines In Tomato ,£ 0.4,£ 0.333 per 100g,https://groceries.morrisons.com/productImages/247/247421011_0_640x640.jpg,images/Morrisons Sardines In Tomato _247421011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Sardines & Pilchards",Yes,https://groceries.morrisons.com/products/247421011,3,120g
John West Mexican Tuna Spreadables ,£ 1.0,£ 1.25 per 100g,https://groceries.morrisons.com/productImages/271/271965011_0_640x640.jpg,images/John West Mexican Tuna Spreadables _271965011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Tuna",Yes,https://groceries.morrisons.com/products/271965011,1,80g
Loma Linda Tikka Masala ,£ 2.8,£ 0.986 per 100g,https://groceries.morrisons.com/productImages/517/517947011_0_640x640.jpg,images/Loma Linda Tikka Masala _517947011.jpg,Fish,"Vegan>Food Cupboard >Tins, Cans & Packets",Yes,https://groceries.morrisons.com/products/517947011,,284g
John West Light Lunch Italian Style Tuna Salad,£ 2.5,£ 1.14 per 100g,https://groceries.morrisons.com/productImages/111/111271011_0_640x640.jpg,images/John West Light Lunch Italian Style Tuna Salad_111271011.jpg,Fish,"Inspiration>Healthier Living>Food Cupboard>Tins, Cans & Packets",Yes,https://groceries.morrisons.com/products/111271011,2,220g
John West Mackerel In Smoke House Bbq Sauce,£ 1.3,£ 1.13 per 100g,https://groceries.morrisons.com/productImages/422/422723011_0_640x640.jpg,images/John West Mackerel In Smoke House Bbq Sauce_422723011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Mackerel & Kippers ",Yes,https://groceries.morrisons.com/products/422723011,,115g
John West Mackerel Fillets In Sweet Chilli,£ 1.3,£ 1.13 per 100g,https://groceries.morrisons.com/productImages/422/422724011_0_640x640.jpg,images/John West Mackerel Fillets In Sweet Chilli_422724011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Mackerel & Kippers ",Yes,https://groceries.morrisons.com/products/422724011,1,115g
Morrisons Sardines in Harissa Sauce,£ 0.85,£ 0.85 per 100g,https://groceries.morrisons.com/productImages/378/378982011_0_640x640.jpg,images/Morrisons Sardines in Harissa Sauce_378982011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Sardines & Pilchards",No,https://groceries.morrisons.com/products/378982011,2,100g
Ocean Crown Gluten Free Cooked & Pickled Cockles,£ 1.45,£ 0.725 per 100g,https://groceries.morrisons.com/productImages/376/376056011_0_640x640.jpg,images/Ocean Crown Gluten Free Cooked & Pickled Cockles_376056011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Seafood",Yes,https://groceries.morrisons.com/products/376056011,9,200g
Glenryck Pilchards in Tomato Sauce,£ 0.6,£ 0.387 per 100g,https://groceries.morrisons.com/productImages/111/111301011_0_640x640.jpg,images/Glenryck Pilchards in Tomato Sauce_111301011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Sardines & Pilchards",Yes,https://groceries.morrisons.com/products/111301011,3,155g
Princes Tuna & Mayonnaise Paste,£ 0.5,£ 0.6664 per 100g,https://groceries.morrisons.com/productImages/111/111331011_0_640x640.jpg,images/Princes Tuna & Mayonnaise Paste_111331011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Tuna",Yes,https://groceries.morrisons.com/products/111331011,3,75g
John West Soft Cod Roes    ,£ 1.55,£ 1.55 per 100g,https://groceries.morrisons.com/productImages/267/267468011_0_640x640.jpg,images/John West Soft Cod Roes    _267468011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Seafood",Yes,https://groceries.morrisons.com/products/267468011,2,100g
Morrisons Pink Salmon,£ 2.4,£ 1.13 per 100g,https://groceries.morrisons.com/productImages/406/406585011_0_640x640.jpg,images/Morrisons Pink Salmon_406585011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Salmon",Yes,https://groceries.morrisons.com/products/406585011,,213g
Morrisons Mackerel Fillets In Korma Sauce,£ 0.95,£ 0.76 per 100g,https://groceries.morrisons.com/productImages/376/376193011_0_640x640.jpg,images/Morrisons Mackerel Fillets In Korma Sauce_376193011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Mackerel & Kippers ",Yes,https://groceries.morrisons.com/products/376193011,3,125g
John West Mackerel In Thai Curry,£ 1.3,£ 1.13 per 100g,https://groceries.morrisons.com/productImages/422/422726011_0_640x640.jpg,images/John West Mackerel In Thai Curry_422726011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Mackerel & Kippers ",Yes,https://groceries.morrisons.com/products/422726011,1,115g
Glenryck Pilchards in Tomato Sauce,£ 1.2,£ 0.3 per 100g,https://groceries.morrisons.com/productImages/111/111302011_0_640x640.jpg,images/Glenryck Pilchards in Tomato Sauce_111302011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Sardines & Pilchards",Yes,https://groceries.morrisons.com/products/111302011,3,400g
Princes Tuna Chunks In Brine,£ 5.0,£ 0.862 per 100g,https://groceries.morrisons.com/productImages/422/422973011_0_640x640.jpg,images/Princes Tuna Chunks In Brine_422973011.jpg,Fish,Food Cupboard>Princes Shop - Sponsored>Simple Lunches,Yes,https://groceries.morrisons.com/products/422973011,4,4 x 145g
Kingfisher Anchovy Fillets in Olive Oil,£ 1.65,£ 1.65 per 100g,https://groceries.morrisons.com/productImages/295/295422011_0_640x640.jpg,images/Kingfisher Anchovy Fillets in Olive Oil_295422011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Anchovies",Yes,https://groceries.morrisons.com/products/295422011,3,100g
Princes Skinless & Boneless Atlantic Salmon With Lemon & Black Pepper,£ 2.25,£ 1.404 per 100g,https://groceries.morrisons.com/productImages/487/487219011_0_640x640.jpg,images/Princes Skinless & Boneless Atlantic Salmon With Lemon & Black Pepper_487219011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Salmon",Yes,https://groceries.morrisons.com/products/487219011,,160g
John West Fridge Pot No Drain Tuna Steak in Brine,£ 2.0,£ 1.82 per 100g,https://groceries.morrisons.com/productImages/445/445187011_0_640x640.jpg,images/John West Fridge Pot No Drain Tuna Steak in Brine_445187011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Tuna",Yes,https://groceries.morrisons.com/products/445187011,,110g
Morrisons Skin & Boned Red Salmon ,£ 4.0,£ 2.35 per 100g,https://groceries.morrisons.com/productImages/248/248309011_0_640x640.jpg,images/Morrisons Skin & Boned Red Salmon _248309011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Salmon",Yes,https://groceries.morrisons.com/products/248309011,9,170g
John West Skippers Brisling in Tomato Sauce,£ 1.4,£ 1.32 per 100g,https://groceries.morrisons.com/productImages/111/111312011_0_640x640.jpg,images/John West Skippers Brisling in Tomato Sauce_111312011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Mackerel & Kippers ",Yes,https://groceries.morrisons.com/products/111312011,,106g
Princes Skinless & Boneless Atlantic Salmon In Brine ,£ 2.25,£ 1.4083 per 100g,https://groceries.morrisons.com/productImages/487/487221011_0_640x640.jpg,images/Princes Skinless & Boneless Atlantic Salmon In Brine _487221011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Salmon",Yes,https://groceries.morrisons.com/products/487221011,,160g
