Product Name,Price ,Price per quantity,Image URL,Image Path,Category,Subcategory,Availability,Product URL,Review Count,Weight
Charm Anti - Bacterial Disinfectant Surface Spray,£ 1.5,£ 0.5 per 100ml,https://groceries.morrisons.com/productImages/529/529799011_0_640x640.jpg,images/Charm Anti - Bacterial Disinfectant Surface Spray_529799011.jpg,All Purpose Cleaners,Household>Cleaning Cupboard>All Purpose Cleaners>Sprays,No,https://groceries.morrisons.com/products/529799011,,300ml
Pledge Clean It Multisurface Wipes,£ 2.25,£ 0.09 each,https://groceries.morrisons.com/productImages/212/212213011_0_640x640.jpg,images/Pledge Clean It Multisurface Wipes_212213011.jpg,All Purpose Cleaners,Household>Cleaning Cupboard>All Purpose Cleaners>Wipes,Yes,https://groceries.morrisons.com/products/212213011,1,25 per pack
Dettol Power & Fresh Multi Purpose Cleaner Spray Lemon & Lime,£ 2.0,£ 2.0 per litre,https://groceries.morrisons.com/productImages/310/310154011_0_640x640.jpg,images/Dettol Power & Fresh Multi Purpose Cleaner Spray Lemon & Lime_310154011.jpg,All Purpose Cleaners,Household>Cleaning Cupboard>All Purpose Cleaners>Sprays,Yes,https://groceries.morrisons.com/products/310154011,1,1L
 Cif Perfect Finish Limescale Remover Cleaner Spray,£ 2.5,£ 5.0 per litre,https://groceries.morrisons.com/productImages/431/431752011_0_640x640.jpg,images/ Cif Perfect Finish Limescale Remover Cleaner Spray_431752011.jpg,All Purpose Cleaners,Household>Cleaning Cupboard>Limescale & Drain Unblocker,Yes,https://groceries.morrisons.com/products/431752011,2,500ml
Morrisons Multi Purpose Antibacterial Original Wipes ,£ 1.0,£ 0.013 each,https://groceries.morrisons.com/productImages/249/249756011_0_640x640.jpg,images/Morrisons Multi Purpose Antibacterial Original Wipes _249756011.jpg,All Purpose Cleaners,Household>Cleaning Cupboard>All Purpose Cleaners>Wipes,Yes,https://groceries.morrisons.com/products/249756011,11,80 per pack
Pledge Clean It Electronic Wipes,£ 3.0,£ 0.12 each,https://groceries.morrisons.com/productImages/268/268881011_0_640x640.jpg,images/Pledge Clean It Electronic Wipes_268881011.jpg,All Purpose Cleaners,Household>Cleaning Cupboard>All Purpose Cleaners>Wipes,Yes,https://groceries.morrisons.com/products/268881011,4,25 per pack
Cif Original Cream Cleaner,£ 1.0,£ 2.0 per litre,https://groceries.morrisons.com/productImages/218/218272011_0_640x640.jpg,images/Cif Original Cream Cleaner_218272011.jpg,All Purpose Cleaners,Household>Cleaning Cupboard>All Purpose Cleaners>Liquids,Yes,https://groceries.morrisons.com/products/218272011,2,500ml
Viakal 3 In 1 Anti-Bac Spray,£ 3.0,£ 0.6 per 100ml,https://groceries.morrisons.com/productImages/534/534392011_0_640x640.jpg,images/Viakal 3 In 1 Anti-Bac Spray_534392011.jpg,All Purpose Cleaners,Household>Cleaning Cupboard>All Purpose Cleaners>Liquids,Yes,https://groceries.morrisons.com/products/534392011,,500ml
Cif Lemon Cream Cleaner,£ 1.0,£ 2.0 per litre,https://groceries.morrisons.com/productImages/212/212290011_0_640x640.jpg,images/Cif Lemon Cream Cleaner_212290011.jpg,All Purpose Cleaners,Household>Cleaning Cupboard>All Purpose Cleaners>Liquids,Yes,https://groceries.morrisons.com/products/212290011,2,500ml
Method French Lavender Multi Surface Cleaner,£ 3.0,£ 3.62 per litre,https://groceries.morrisons.com/productImages/326/326653011_0_640x640.jpg,images/Method French Lavender Multi Surface Cleaner_326653011.jpg,All Purpose Cleaners,Vegan>Household & Beauty >Household,Yes,https://groceries.morrisons.com/products/326653011,10,828ml
Sani Surface Anti-Bacterial Wipes 56 Wipes,£ 2.0,£ 0.036 each,https://groceries.morrisons.com/productImages/532/532712011_0_640x640.jpg,images/Sani Surface Anti-Bacterial Wipes 56 Wipes_532712011.jpg,All Purpose Cleaners,Household>Cleaning Cupboard>All Purpose Cleaners>Wipes,No,https://groceries.morrisons.com/products/532712011,1,56 per pack
Flash Wipes Blossom Anti-Bac 60 Wipe & Go,£ 2.0,£ 0.0333 each,https://groceries.morrisons.com/productImages/523/523832011_0_640x640.jpg,images/Flash Wipes Blossom Anti-Bac 60 Wipe & Go_523832011.jpg,All Purpose Cleaners,Household>Cleaning Cupboard>All Purpose Cleaners>Wipes,Yes,https://groceries.morrisons.com/products/523832011,,60 per pack
Elbow Grease All Purpose Degreaser ,£ 1.0,£ 0.2 per 100ml,https://groceries.morrisons.com/productImages/486/486275011_0_640x640.jpg,images/Elbow Grease All Purpose Degreaser _486275011.jpg,All Purpose Cleaners,Household>Cleaning Cupboard>All Purpose Cleaners>Liquids,Yes,https://groceries.morrisons.com/products/486275011,3,500ml
Flash Multi Purpose Cleaning Spray Bleach,£ 1.0,£ 2.0 per litre,https://groceries.morrisons.com/productImages/117/117528011_0_640x640.jpg,images/Flash Multi Purpose Cleaning Spray Bleach_117528011.jpg,All Purpose Cleaners,Inspiration>Student Essentials>Cleaning & Laundry,Yes,https://groceries.morrisons.com/products/117528011,14,500ml
Pledge Beautify It Wood Floor & Furniture Wipes,£ 3.0,£ 0.25 each,https://groceries.morrisons.com/productImages/117/117257011_0_640x640.jpg,images/Pledge Beautify It Wood Floor & Furniture Wipes_117257011.jpg,All Purpose Cleaners,Household>Cleaning Cupboard>Floor & Carpet>Wipes,Yes,https://groceries.morrisons.com/products/117257011,,12 per pack
Flash Wipes Anti-Bac 24 Wipe & Go,£ 1.0,£ 0.0415 each,https://groceries.morrisons.com/productImages/523/523830011_0_640x640.jpg,images/Flash Wipes Anti-Bac 24 Wipe & Go_523830011.jpg,All Purpose Cleaners,Household>Cleaning Cupboard>All Purpose Cleaners>Wipes,Yes,https://groceries.morrisons.com/products/523830011,,24 per pack
Dettol Anti - Bacterial Cleansing Surface Wipes Large Wipes,£ 3.0,£ 0.027 each,https://groceries.morrisons.com/productImages/486/486261011_0_640x640.jpg,images/Dettol Anti - Bacterial Cleansing Surface Wipes Large Wipes_486261011.jpg,All Purpose Cleaners,Household>Cleaning Cupboard>All Purpose Cleaners>Wipes,Yes,https://groceries.morrisons.com/products/486261011,3,110 per pack
Method Granite Cleaner ,£ 4.0,£ 11.3 per litre,https://groceries.morrisons.com/productImages/326/326650011_0_640x640.jpg,images/Method Granite Cleaner _326650011.jpg,All Purpose Cleaners,Household>Cleaning Cupboard>All Purpose Cleaners>Sprays,Yes,https://groceries.morrisons.com/products/326650011,3,354ml
Mr Sheen Spring Meadow Polish Wipes  ,£ 2.45,£ 0.082 each,https://groceries.morrisons.com/productImages/267/267229011_0_640x640.jpg,images/Mr Sheen Spring Meadow Polish Wipes  _267229011.jpg,All Purpose Cleaners,Household>Cleaning Cupboard>All Purpose Cleaners>Wipes,Yes,https://groceries.morrisons.com/products/267229011,1,30 per pack
Dettol Power & Fresh Multi Purpose Cleaner Spray Pomegranate & Lime ,£ 2.0,£ 2.0 per litre,https://groceries.morrisons.com/productImages/310/310155011_0_640x640.jpg,images/Dettol Power & Fresh Multi Purpose Cleaner Spray Pomegranate & Lime _310155011.jpg,All Purpose Cleaners,Household>Cleaning Cupboard>All Purpose Cleaners>Sprays,Yes,https://groceries.morrisons.com/products/310155011,5,1L
