Country,Code
Select your country,
Albania,546
Algeria,622
Andorra,547
Angola,623
Anguilla,624
Antigua and Barbuda,625
Argentina,626
Armenia,548
Aruba,627
Ascension Island,628
Australia,746
Austria,549
Azerbaijan,629
Azores,535
Bahamas,630
Bahrain,631
Balearic Isles,780
Bangladesh,632
Barbados,633
Belarus,550
Belgium,527
Belize,634
Benin,635
Bermuda,636
BFPO,756
BFPO (200 - 499) Ships,757
BFPO 622,785
BFPO 684,764
BFPO 792,791
BFPO Op Herrick,763
BFPO Op Kipion,762
Bhutan,747
Bolivia,637
Bosnia,551
Botswana,638
Brazil,639
British Virgin Islands,640
Brunei,585
Bulgaria (Republic),552
Burkina Faso,641
Burundi,642
Cambodia,586
Cameroon,643
Canada,583
Canary Islands,553
Cape Verde,554
Cayman Islands,644
Central African Republic,645
Chad,646
Channel Islands,525
Chile,647
China,748
Christmas Island,587
Cocos Island (Keeling),588
Colombia,648
Comoros,649
Congo,650
Cook Islands,781
Corsica,530
Costa Rica,651
Croatia,555
Cuba,652
Cyprus,556
Czech Republic,557
Denmark,531
Djibouti,653
Dominica,654
Dominican Republic,655
East Timor,589
Ecuador,657
Egypt,749
El Salvador,656
England,518
Equatorial Guinea,658
Eritrea,659
Estonia,558
Ethiopia,660
Falkland Islands,661
Faroe Islands,559
Fiji,750
Finland,560
Formentera,536
France,532
French Guiana,662
French Polynesia,590
Gabon,663
Gambia,664
Gaza and Khan Yunis,665
Georgia,561
Germany,533
Ghana,766
Gibraltar,562
Greece,745
Greenland,563
Grenada,666
Guadeloupe,667
Guam,591
Guatemala,668
Guinea Republic Of,669
Guinea-Bissau,670
Guyana,671
Haiti,672
Honduras,673
Hong Kong,592
Hungary,564
Ibiza,537
Iceland,565
India,751
Indonesia,593
Iran,674
Iraq,675
Isle of Man,523
Isle of Scilly,524
Israel,755
Italy,538
Ivory Coast,676
Jamaica,677
Japan,594
Jordan,752
Kazakhstan,678
Kenya,753
Kiribati,595
Korea Republic of,596
Kosovo,566
Kuwait,754
Kyrgyzstan,679
Laos,597
Latvia,567
Lebanon,680
Lesotho,681
Liberia,682
Libya,683
Liechtenstein,568
Lithuania,569
Luxembourg,528
Macao,598
Macedonia,570
Madagascar,684
Madeira,539
Malawi,685
Malaysia,599
Maldives,686
Mali,687
Mallorca,540
Malta,571
Marshall Islands,600
Martinique,688
Mauritania,689
Mauritius,690
Menorca,541
Micronesia,601
Moldova,572
Monaco,534
Mongolia,602
Montenegro,782
Montserrat,692
Morocco,693
Mozambique,694
Myanmar (Burma),603
Namibia,695
Nauru,696
Nepal,697
Netherlands,529
Netherlands Antilles,698
New Caledonia,604
New Zealand,605
Nicaragua,699
Niger,700
Norfolk Island,606
Northern Ireland,522
Northern Mariana Islands,607
Norway,759
Oman,701
Pakistan,702
Panama,703
Papua New Guinea,608
Paraguay,704
Peru,705
Phillipines,609
Pitcairn Islands,610
Poland,573
Portugal,542
Puerto Rico,706
Qatar,707
Republic of Ireland,526
Reunion,708
Romania,574
Russia,575
Rwanda,709
Saint Helena,710
Samoa,611
San Marino,576
Sao Tome and Principe,711
Sardinia,543
Saudi Arabia,712
Scotland,520
Scotland Highlands/Islands,521
Senegal,713
Serbia,783
Seychelles,714
Sicily,544
Sierra Leone,715
Singapore,612
Slovakia,578
Slovenia,579
Solomon Islands,613
Somalia,716
South Africa,717
Spain,545
Spanish Territories N Africa,718
Spitzbergen,580
Sri Lanka,719
St Christopher and Nevis,720
St Lucia.,721
St Pierre and Miquelon,722
St Vincent and Grenadines,723
Sudan,724
Suriname,725
Swaziland,726
Sweden,581
Switzerland,761
Syria,727
Taiwan,614
Tajikistan,728
Tanzania,729
Thailand,615
Togo,730
Tonga,616
Trinidad andTobago,731
Tristan Da Cunha,732
Tunisia,733
Turkey,760
Turkmenistan,734
Turks and Caicos Islands,735
Tuvalu,617
Uganda,736
UK - England,788
UK - Northern Ireland,787
UK - Scotland,789
UK - Scotland Highland/Islands,786
UK - Wales,790
Ukraine,582
United Arab Emirates,737
United States,584
Uruguay,738
Uzbekistan,739
Vanuatu,618
Vatican City State,767
Venezuela,740
Vietnam,768
Virgin Islands US,741
Wake Island,619
Wales,519
Wallis and Futuna Islands,620
Western Samoa,784
Yemen,742
Zambia,743
Zimbabwe,744
